______________________________________________________________________________________
| Остаток основного долга | Ежемесячный взнос | Погашение процентов | Погашение долга |
|                     500 |             44.51 |             42.0833 |         2.42666 |
|                     497 |             44.51 |             41.8308 |         2.67916 |
|                     494 |             44.51 |             41.5783 |         2.93166 |
|                     491 |             44.51 |             41.3258 |         3.18417 |
|                     487 |             44.51 |             40.9892 |         3.52083 |
|                     483 |             44.51 |             40.6525 |          3.8575 |
|                     479 |             44.51 |             40.3158 |         4.19416 |
|                     474 |             44.51 |              39.895 |           4.615 |
|                     469 |             44.51 |             39.4742 |         5.03583 |
|                     463 |             44.51 |             38.9692 |         5.54083 |
|                     457 |             44.51 |             38.4642 |         6.04583 |
|                     450 |             44.51 |              37.875 |           6.635 |
|                     443 |             44.51 |             37.2858 |         7.22416 |
|                     435 |             44.51 |             36.6125 |          7.8975 |
|                     427 |             44.51 |             35.9392 |         8.57083 |
|                     418 |             44.51 |             35.1817 |         9.32833 |
|                     408 |             44.51 |               34.34 |           10.17 |
|                     397 |             44.51 |             33.4142 |         11.0958 |
|                     385 |             44.51 |             32.4042 |         12.1058 |
|                     372 |             44.51 |               31.31 |            13.2 |
|                     358 |             44.51 |             30.1317 |         14.3783 |
|                     343 |             44.51 |             28.8692 |         15.6408 |
|                     327 |             44.51 |             27.5225 |         16.9875 |
|                     310 |             44.51 |             26.0917 |         18.4183 |
|                     291 |             44.51 |             24.4925 |         20.0175 |
|                     270 |             44.51 |              22.725 |          21.785 |
|                     248 |             44.51 |             20.8733 |         23.6367 |
|                     224 |             44.51 |             18.8533 |         25.6567 |
|                     198 |             44.51 |              16.665 |          27.845 |
|                     170 |             44.51 |             14.3083 |         30.2017 |
|                     139 |             44.51 |             11.6992 |         32.8108 |
|                     106 |             44.51 |             8.92167 |         35.5883 |
|                      70 |             44.51 |             5.89167 |         38.6183 |
|                      31 |                31 |             2.60917 |         28.3908 |
